# TartanAir V2 archives of the left front camera, from castacks/tartanairpy tartanair/download_files.txt at 158a6844d782942110967325ca3082f50ab2bfc7
# sizes as the index states them (decimal GB there, converted to bytes). Columns: environment, difficulty, modality, bytes
AbandonedCable	easy	depth	5445184075
AbandonedCable	easy	flow	8436072144
AbandonedCable	easy	image	15295843788
AbandonedCable	easy	seg	449479125
AbandonedCable	hard	depth	3382195821
AbandonedCable	hard	flow	6969087842
AbandonedCable	hard	image	9112422180
AbandonedCable	hard	seg	273823338
AbandonedFactory	easy	depth	1971236896
AbandonedFactory	easy	flow	2838131071
AbandonedFactory	easy	image	4865540097
AbandonedFactory	easy	seg	130048483
AbandonedFactory	hard	depth	1101115664
AbandonedFactory	hard	flow	2192165085
AbandonedFactory	hard	image	2596449614
AbandonedFactory	hard	seg	72575980
AbandonedFactory2	easy	depth	714506710
AbandonedFactory2	easy	flow	1251468863
AbandonedFactory2	easy	image	2014021861
AbandonedFactory2	easy	seg	66395564
AbandonedFactory2	hard	depth	443838554
AbandonedFactory2	hard	flow	1064043679
AbandonedFactory2	hard	image	1104600117
AbandonedFactory2	hard	seg	36081250
AbandonedSchool	easy	depth	2968310232
AbandonedSchool	easy	flow	5340727581
AbandonedSchool	easy	image	9067368541
AbandonedSchool	easy	seg	225778079
AbandonedSchool	hard	depth	2024476259
AbandonedSchool	hard	flow	4760329828
AbandonedSchool	hard	image	6073517327
AbandonedSchool	hard	seg	164093720
AmericanDiner	easy	depth	366262537
AmericanDiner	easy	flow	662231504
AmericanDiner	easy	image	1348328407
AmericanDiner	easy	seg	31895012
AmericanDiner	hard	depth	226858854
AmericanDiner	hard	flow	569336282
AmericanDiner	hard	image	813921955
AmericanDiner	hard	seg	20381270
AmusementPark	easy	depth	4130890050
AmusementPark	easy	flow	5138274834
AmusementPark	easy	image	7033525602
AmusementPark	easy	seg	471700593
AmusementPark	hard	depth	2494053251
AmusementPark	hard	flow	3889042111
AmusementPark	hard	image	4520940488
AmusementPark	hard	seg	280200291
AncientTowns	easy	depth	1442989943
AncientTowns	easy	flow	2420480156
AncientTowns	easy	image	4226702643
AncientTowns	easy	seg	118893444
AncientTowns	hard	depth	849508718
AncientTowns	hard	flow	1881674420
AncientTowns	hard	image	2473387854
AncientTowns	hard	seg	65496461
Antiquity3D	easy	depth	3152772944
Antiquity3D	easy	flow	4881245656
Antiquity3D	easy	image	6766416106
Antiquity3D	easy	seg	178199232
Antiquity3D	hard	depth	1946142304
Antiquity3D	hard	flow	4005771882
Antiquity3D	hard	image	4003948524
Antiquity3D	hard	seg	112398328
Apocalyptic	easy	depth	1613754306
Apocalyptic	easy	flow	2148834101
Apocalyptic	easy	image	3716771008
Apocalyptic	easy	seg	161157682
Apocalyptic	hard	depth	982761246
Apocalyptic	hard	flow	1704600746
Apocalyptic	hard	image	2188530141
Apocalyptic	hard	seg	90027349
ArchVizTinyHouseDay	easy	depth	186046186
ArchVizTinyHouseDay	easy	flow	407933838
ArchVizTinyHouseDay	easy	image	517844269
ArchVizTinyHouseDay	easy	seg	9631307
ArchVizTinyHouseDay	hard	depth	115303077
ArchVizTinyHouseDay	hard	flow	293204679
ArchVizTinyHouseDay	hard	image	314926908
ArchVizTinyHouseDay	hard	seg	6289032
ArchVizTinyHouseNight	easy	depth	186050926
ArchVizTinyHouseNight	easy	flow	407886752
ArchVizTinyHouseNight	easy	image	354876762
ArchVizTinyHouseNight	easy	seg	5205967
ArchVizTinyHouseNight	hard	depth	115260756
ArchVizTinyHouseNight	hard	flow	293183988
ArchVizTinyHouseNight	hard	image	215543414
ArchVizTinyHouseNight	hard	seg	4064639
BrushifyMoon	easy	depth	2701993649
BrushifyMoon	easy	flow	6106937482
BrushifyMoon	easy	image	12535735186
BrushifyMoon	easy	seg	93322190
BrushifyMoon	hard	depth	1516175429
BrushifyMoon	hard	flow	5042718881
BrushifyMoon	hard	image	6562852537
BrushifyMoon	hard	seg	54913581
CarWelding	easy	depth	1926777504
CarWelding	easy	flow	3042427947
CarWelding	easy	image	5545231587
CarWelding	easy	seg	152937502
CarWelding	hard	depth	1269644222
CarWelding	hard	flow	2536083822
CarWelding	hard	image	3323428639
CarWelding	hard	seg	95430591
CastleFortress	easy	depth	6940206336
CastleFortress	easy	flow	9660329472
CastleFortress	easy	image	18369210039
CastleFortress	easy	seg	494830831
CastleFortress	hard	depth	4063561782
CastleFortress	hard	flow	7885544942
CastleFortress	hard	image	10555809942
CastleFortress	hard	seg	277912484
CoalMine	easy	depth	994244250
CoalMine	easy	flow	1648201244
CoalMine	easy	image	2123399948
CoalMine	easy	seg	56723172
CoalMine	hard	depth	615188007
CoalMine	hard	flow	1367010681
CoalMine	hard	image	1353600891
CoalMine	hard	seg	32910325
ConstructionSite	easy	depth	2715026461
ConstructionSite	easy	flow	4180158160
ConstructionSite	easy	image	4742126463
ConstructionSite	easy	seg	274597032
ConstructionSite	hard	depth	1550626073
ConstructionSite	hard	flow	3213947654
ConstructionSite	hard	image	2185476306
ConstructionSite	hard	seg	150314169
CountryHouse	easy	depth	360068455
CountryHouse	easy	flow	811244855
CountryHouse	easy	image	1134659260
CountryHouse	easy	seg	19635598
CountryHouse	hard	depth	215341491
CountryHouse	hard	flow	632398069
CountryHouse	hard	image	747011946
CountryHouse	hard	seg	13050938
CyberPunkDowntown	easy	depth	2938360146
CyberPunkDowntown	easy	flow	4097920837
CyberPunkDowntown	easy	image	7352476243
CyberPunkDowntown	easy	seg	242561085
CyberPunkDowntown	hard	depth	1847845817
CyberPunkDowntown	hard	flow	3366829552
CyberPunkDowntown	hard	image	4383958075
CyberPunkDowntown	hard	seg	147601416
Cyberpunk	easy	depth	4340548127
Cyberpunk	easy	flow	5306466309
Cyberpunk	easy	image	8870537593
Cyberpunk	easy	seg	253278597
Cyberpunk	hard	depth	2672809885
Cyberpunk	hard	flow	4426471066
Cyberpunk	hard	image	5487853274
Cyberpunk	hard	seg	155405498
DesertGasStation	easy	depth	730304733
DesertGasStation	easy	flow	1110979713
DesertGasStation	easy	image	1308096024
DesertGasStation	easy	seg	43210775
DesertGasStation	hard	depth	467926903
DesertGasStation	hard	flow	934969743
DesertGasStation	hard	image	960709082
DesertGasStation	hard	seg	29363426
Downtown	easy	depth	5995023769
Downtown	easy	flow	7609587310
Downtown	easy	image	15146118453
Downtown	easy	seg	427924383
Downtown	hard	depth	3245522085
Downtown	hard	flow	5323428055
Downtown	hard	image	8056487474
Downtown	hard	seg	218851691
EndofTheWorld	easy	depth	1348940055
EndofTheWorld	easy	flow	2193059753
EndofTheWorld	easy	image	4289475827
EndofTheWorld	easy	seg	36569562
EndofTheWorld	hard	depth	797300695
EndofTheWorld	hard	flow	1664086092
EndofTheWorld	hard	image	2580467617
